neighbourhood,population,year,key
Ciutat de les Arts i de les Ciències,9020,2024,CIUTATDELESARTSIDELESCIENCIES
Vara de Quart,10199,2024,VARADEQUART
Beniferri,1249,2024,BENIFERRI
Massarrojos,2646,2024,MASSARROJOS
Sant Antoni,9972,2024,SANTANTONI
Penya-roja,13706,2024,PENYAROJA
el Forn d'Alcedo,1368,2024,ELFORNDALCEDO
el Mercat,4034,2024,ELMERCAT
Ciutat Universitària,2802,2024,CIUTATUNIVERSITARIA
Beteró,7935,2024,BETERO
Natzaret,6413,2024,NATZARET
la Raiosa,15968,2024,LARAIOSA
el Pilar,5352,2024,ELPILAR
Camí Fondo,4589,2024,CAMIFONDO
Tormos,8870,2024,TORMOS
Borbotó,739,2024,BORBOTO
Sant Isidre,10444,2024,SANTISIDRE
la Punta,3441,2024,LAPUNTA
Trinitat,8082,2024,TRINITAT
la Creu del Grau,15120,2024,LACREUDELGRAU
Torrefiel,27233,2024,TORREFIEL
el Pla del Remei,7240,2024,ELPLADELREMEI
la Torre,4836,2024,LATORRE
el Carme,7161,2024,ELCARME
Mestalla,14745,2024,MESTALLA
el Cabanyal-el Canyamelar,19429,2024,ELCABANYALELCANYAMELAR
Mont-Olivet,19845,2024,MONTOLIVET
Favara,3709,2024,FAVARA
Nou Moles,27351,2024,NOUMOLES
el Botànic,6883,2024,ELBOTANIC
Benimaclet,23265,2024,BENIMACLET
Campanar,11633,2024,CAMPANAR
l'Illa Perduda,8453,2024,LILLAPERDUDA
Benifaraig,1008,2024,BENIFARAIG
el Safranar,10452,2024,ELSAFRANAR
la Malva-rosa,13135,2024,LAMALVAROSA
Jaume Roig,6532,2024,JAUMEROIG
la Xerea,4137,2024,LAXEREA
Ciutat Fallera,6236,2024,CIUTATFALLERA
el Perellonet,1515,2024,ELPERELLONET
la Gran Via,12291,2024,LAGRANVIA
Sant Llorenç,11414,2024,SANTLLORENC
Albors,9136,2024,ALBORS
Morvedre,10301,2024,MORVEDRE
Sant Marcel·lí,10330,2024,SANTMARCELLI
la Seu,3245,2024,LASEU
Benicalap,43916,2024,BENICALAP
el Palmar,750,2024,ELPALMAR
Aiora,24902,2024,AIORA
Marxalenes,11158,2024,MARXALENES
les Tendetes,5410,2024,LESTENDETES
Ciutat Jardí,11922,2024,CIUTATJARDI
la Petxina,15388,2024,LAPETXINA
Poble Nou,960,2024,POBLENOU
Tres Forques,10164,2024,TRESFORQUES
Malilla,24924,2024,MALILLA
en Corts,12222,2024,ENCORTS
Soternes,5095,2024,SOTERNES
Carpesa,1220,2024,CARPESA
la Roqueta,5018,2024,LAROQUETA
Faitanar,2065,2024,FAITANAR
Camí de Vera,5276,2024,CAMIDEVERA
l'Amistat,7123,2024,LAMISTAT
el Calvari,5195,2024,ELCALVARI
Orriols,18056,2024,ORRIOLS
Russafa,25100,2024,RUSSAFA
el Saler,1956,2024,ELSALER
Camí Real,3960,2024,CAMIREAL
Exposició,6941,2024,EXPOSICIO
el Grau,9931,2024,ELGRAU
Sant Pau,18679,2024,SANTPAU
la Bega Baixa,5467,2024,LABEGABAIXA
les Cases de Bàrcena,377,2024,LESCASESDEBARCENA
la Llum,4998,2024,LALLUM
Patraix,24613,2024,PATRAIX
na Rovella,7628,2024,NAROVELLA
l'Hort de Senabre,17225,2024,LHORTDESENABRE
Pinedo,2640,2024,PINEDO
Castellar-l'Oliveral,6913,2024,CASTELLARLOLIVERAL
Sant Francesc,6073,2024,SANTFRANCESC
la Creu Coberta,6099,2024,LACREUCOBERTA
la Fonteta de Sant Lluís,3186,2024,LAFONTETADESANTLLUIS
la Fontsanta,3866,2024,LAFONTSANTA
Benimàmet,14012,2024,BENIMAMET
Mauella,59,2024,MAUELLA
Arrancapins,23354,2024,ARRANCAPINS
la Carrasca,3301,2024,LACARRASCA
