neighbourhood,year,population,key
Ciutat de les Arts i de les Ciències,2014,6086,CIUTATDELESARTSIDELESCINCIES
Ciutat de les Arts i de les Ciències,2015,6402,CIUTATDELESARTSIDELESCINCIES
Ciutat de les Arts i de les Ciències,2016,6626,CIUTATDELESARTSIDELESCINCIES
Ciutat de les Arts i de les Ciències,2017,6786,CIUTATDELESARTSIDELESCINCIES
Ciutat de les Arts i de les Ciències,2018,6919,CIUTATDELESARTSIDELESCINCIES
Ciutat de les Arts i de les Ciències,2019,7050,CIUTATDELESARTSIDELESCINCIES
Ciutat de les Arts i de les Ciències,2020,7455,CIUTATDELESARTSIDELESCINCIES
Ciutat de les Arts i de les Ciències,2021,7523,CIUTATDELESARTSIDELESCINCIES
Ciutat de les Arts i de les Ciències,2022,7687,CIUTATDELESARTSIDELESCINCIES
Ciutat de les Arts i de les Ciències,2023,8280,CIUTATDELESARTSIDELESCINCIES
Ciutat de les Arts i de les Ciències,2024,9020,CIUTATDELESARTSIDELESCINCIES
Vara de Quart,1991,11254,VARADEQUART
Vara de Quart,1996,11881,VARADEQUART
Vara de Quart,2001,11713,VARADEQUART
Vara de Quart,2014,10320,VARADEQUART
Vara de Quart,2015,10357,VARADEQUART
Vara de Quart,2016,10390,VARADEQUART
Vara de Quart,2017,10426,VARADEQUART
Vara de Quart,2018,10413,VARADEQUART
Vara de Quart,2019,10409,VARADEQUART
Vara de Quart,2020,10402,VARADEQUART
Vara de Quart,2021,10344,VARADEQUART
Vara de Quart,2022,10123,VARADEQUART
Vara de Quart,2023,10041,VARADEQUART
Vara de Quart,2024,10199,VARADEQUART
Beniferri,1991,527,BENIFERRI
Beniferri,1996,548,BENIFERRI
Beniferri,2001,520,BENIFERRI
Beniferri,2014,1044,BENIFERRI
Beniferri,2015,1070,BENIFERRI
Beniferri,2016,1102,BENIFERRI
Beniferri,2017,1117,BENIFERRI
Beniferri,2018,1157,BENIFERRI
Beniferri,2019,1200,BENIFERRI
